id,timestamp,value,sensor_id
20134,2024-08-26 20:15:41.202941,35.0,4
20137,2024-08-26 20:16:44.961369,36.0,4
20140,2024-08-26 20:17:48.845691,35.0,4
20143,2024-08-26 20:18:52.635358,35.0,4
20146,2024-08-26 20:19:56.621664,36.0,4
20149,2024-08-26 20:21:00.456240,36.0,4
20152,2024-08-26 20:22:04.280396,35.0,4
20155,2024-08-26 20:23:08.036678,35.0,4
20158,2024-08-26 20:24:11.899981,35.0,4
20161,2024-08-26 20:25:15.715894,35.0,4
20164,2024-08-26 20:26:19.564582,35.0,4
20167,2024-08-26 20:27:23.370666,35.0,4
20170,2024-08-26 20:28:27.313861,36.0,4
20173,2024-08-26 20:29:31.211835,35.0,4
20176,2024-08-26 20:30:34.987623,36.0,4
20179,2024-08-26 20:31:38.825896,36.0,4
20182,2024-08-26 20:32:42.635547,35.0,4
20185,2024-08-26 20:33:46.382574,35.0,4
20188,2024-08-26 20:34:50.205426,36.0,4
20191,2024-08-26 20:35:53.963033,36.0,4
20194,2024-08-26 20:36:57.895747,36.0,4
20197,2024-08-26 20:38:01.803272,35.0,4
20200,2024-08-26 20:39:05.658897,35.0,4
20203,2024-08-26 20:40:09.399147,36.0,4
20206,2024-08-26 20:41:13.124692,35.0,4
20209,2024-08-26 20:42:16.841678,36.0,4
20212,2024-08-26 20:43:20.642727,36.0,4
20215,2024-08-26 20:44:24.451574,36.0,4
20218,2024-08-26 20:45:28.348432,37.0,4
20221,2024-08-26 20:46:32.227697,36.0,4
20224,2024-08-26 20:47:36.038510,36.0,4
20227,2024-08-26 20:48:39.802463,36.0,4
20230,2024-08-26 20:49:43.555431,35.0,4
20233,2024-08-26 20:50:47.601036,36.0,4
20236,2024-08-26 20:51:51.396031,36.0,4
20239,2024-08-26 20:52:55.169197,36.0,4
20242,2024-08-26 20:53:59.078376,36.0,4
20245,2024-08-26 20:55:02.987767,37.0,4
20248,2024-08-26 20:56:06.791832,37.0,4
20251,2024-08-26 20:57:10.500096,36.0,4
20254,2024-08-26 20:58:14.190856,37.0,4
20257,2024-08-26 20:59:17.981439,37.0,4
20260,2024-08-26 21:00:21.783259,38.0,4
20263,2024-08-26 21:01:25.533474,37.0,4
20266,2024-08-26 21:02:29.396006,37.0,4
20269,2024-08-26 21:03:33.209415,37.0,4
20272,2024-08-26 21:04:36.962482,37.0,4
20275,2024-08-26 21:05:40.756431,37.0,4
20278,2024-08-26 21:06:44.511686,38.0,4
20281,2024-08-26 21:07:48.307476,37.0,4
20284,2024-08-26 21:08:52.029313,37.0,4
20287,2024-08-26 21:09:55.808751,37.0,4
20290,2024-08-26 21:10:59.683175,38.0,4
20293,2024-08-26 21:12:03.551954,38.0,4
